fef5794 was zeyadomran, 2 minutes ago, message: Merge branch 'main' of https://github.com/zeyadomran/Self-Checkout-Station-Simulator into main
fb58d23 was Mackenzie Dalton, 4 days ago, message: Merge pull request #11 from zeyadomran/ReturnToAddItems
fb720cd was Mackenzie Dalton, 4 days ago, message: Add files via upload
9f35612 was sharansarthak, 4 days ago, message: Merge branch 'main' of https://github.com/zeyadomran/Self-Checkout-Station-Simulator into main
39780a9 was sharansarthak, 4 days ago, message: LowPaper use case
9a44a39 was matthewJarrams, 4 days ago, message: Ensured 100% coverage for plu item tests
0675779 was Mackenzie Dalton, 4 days ago, message: Merge pull request #10 from zeyadomran/CheckWeight
e65f7c0 was Mackenzie Dalton, 4 days ago, message: Add files via upload
42190d6 was sharansarthak, 4 days ago, message: Merge branch 'main' of https://github.com/zeyadomran/Self-Checkout-Station-Simulator into main
cb97adf was matthewJarrams, 4 days ago, message: State diagrams
8914d65 was sharansarthak, 4 days ago, message: Create SENG 300 Iteration 3 Meeting #1.pdf
832d6ec was zeyadomran, 4 days ago, message: UX Improvement ✍🏽
e990941 was zeyadomran, 4 days ago, message: Added Bagging Are Functionality 💰
cf25b64 was zeyadomran, 4 days ago, message: Add Manual Member Log In ✍🏽
e2042a7 was zeyadomran, 4 days ago, message: Added Create Membership Functionality 🚀
ea57e55 was matthewJarrams, 4 days ago, message: Added highLevel State Diagram
48b1853 was zeyadomran, 4 days ago, message: Check Description ⬇️
978e611 was zeyadomran, 4 days ago, message: Fixing Bugs 🔨
695e4a1 was sharansarthak, 4 days ago, message: Added a few test cases
5eb7c49 was zeyadomran, 4 days ago, message: Remove Item Functionality Added! ✅
108079a was zeyadomran, 4 days ago, message: Added Scan Item Functionality ⚡️
351dba0 was matthewJarrams, 5 days ago, message: Added comments and tests for attendant looks up product
334f58b was matthewJarrams, 5 days ago, message: Added Attendant Looks up product use case and tests
593acbc was kirkelumir, 5 days ago, message: Merge pull request #8 from zeyadomran/branch3
1d131c0 was kirkelumir, 5 days ago, message: Added use cases 5, 7, and 8
41bc788 was kirkelumir, 5 days ago, message: Delete SelfCheckoutSoftware.java
ba604bd was kirkelumir, 5 days ago, message: Rename SelfCheckoutSoftware.java to SelfCheckoutSystem - Software/src/org/lsmr/selfcheckout/SelfCheckoutSoftware.java
de1c45f was kirkelumir, 5 days ago, message: Added use cases 5, 7, and 8
68c49bf was matthewJarrams, 5 days ago, message: Added some more tests to use cases I did
de0c57a was matthewJarrams, 5 days ago, message: Added tests for attendant and updated test suite
28aabcf was matthewJarrams, 5 days ago, message: Added comments
10221a0 was DanySaaidBonilla, 6 days ago, message: Added More Tests
b3ec34f was DanySaaidBonilla, 6 days ago, message: Merge pull request #7 from zeyadomran/Adding-Tests-and-Use-Cases
eddbedf was DanySaaidBonilla, 6 days ago, message: Fixed a bug
7786d3d was DanySaaidBonilla, 6 days ago, message: Added some documentation fixes
f0fc23b was DanySaaidBonilla, 6 days ago, message: Added Tests and Use Case
d1ba949 was matthewJarrams, 6 days ago, message: added changes to weight discrepancy
a8bf4fa was DanySaaidBonilla, 6 days ago, message: Merge pull request #5 from zeyadomran/DanySaaidBonilla-ApprovesWeightDiff
2c3702d was DanySaaidBonilla, 6 days ago, message: Added attendant approves weight discrepancy
2e55626 was zeyadomran, 6 days ago, message: Added Attendant Panel ✅
2a83049 was zeyadomran, 7 days ago, message: ..
b3a067b was zeyadomran, 7 days ago, message: File Management 🗃
8292d8f was zeyadomran, 7 days ago, message: Updated to Hardware v3.1 ⚡️
3f9334a was zeyadomran, 7 days ago, message: Updated to Hardware v3.1 ⚡️
aa34682 was sharansarthak, 7 days ago, message: Added TouchScreenTest.java
9d24770 was matthewJarrams, 7 days ago, message: All previous tests and the new dispenser stuff passes
75a3dfe was matthewJarrams, 7 days ago, message: Attendant Logout added
f379f02 was g-heemeryck, 7 days ago, message: Merge pull request #4 from zeyadomran/storagedispenserbranch
8e5683a was g-heemeryck, 7 days ago, message: Rename SelfCheckoutSystem - Software - Test/LoadCoinDispensersTest.java to SelfCheckoutSystem - Software - Test/src/org/lsmr/selfcheckout/software/test/LoadCoinDispensersTest.java
3128877 was g-heemeryck, 7 days ago, message: Rename SelfCheckoutSystem - Software - Test/LoadBanknoteDispensersTest.java to SelfCheckoutSystem - Software - Test/src/org/lsmr/selfcheckout/software/test/LoadBanknoteDispensersTest.java
0c26857 was g-heemeryck, 7 days ago, message: Rename SelfCheckoutSystem - Software - Test/EmptyStorageTest.java to SelfCheckoutSystem - Software - Test/src/org/lsmr/selfcheckout/software/test/EmptyStorageTest.java
df3b594 was g-heemeryck, 7 days ago, message: Update CoinDispenserListenerStub.java
369218d was g-heemeryck, 7 days ago, message: Update CoinStorageUnitListenerStub.java
421b90a was g-heemeryck, 7 days ago, message: Update SelfCheckoutSoftware.java
f8e9fc6 was g-heemeryck, 7 days ago, message: Add files via upload
fea18bc was zeyadomran, 7 days ago, message: Finished Main GUI screen design ✅
ab09c2b was Kylie Sicat, 7 days ago, message: Updated SelfCheckoutSystem - Software - Structural.drawio
8d6e008 was zeyadomran, 7 days ago, message: Added First GUI Screen
1be4e30 was Kylie Sicat, 8 days ago, message: Updated SelfCheckoutSystem - Software - Structural.drawio
56f0235 was Kylie Sicat, 8 days ago, message: Updated SelfCheckoutSystem - Software - Structural.drawio
5607042 was sharansarthak, 8 days ago, message: Paper or Ink can only be added to the printer if attendant is logged in
c5ee8eb was DanySaaidBonilla, 9 days ago, message: Merge pull request #3 from zeyadomran/DanySaaidBonilla-patch-1
07215df was DanySaaidBonilla, 9 days ago, message: Added some use cases
38f43dc was matthewJarrams, 9 days ago, message: Added some tests for attendant
4d15044 was matthewJarrams, 9 days ago, message: Merge pull request #2 from zeyadomran/Attendant
1b8d856 was Kylie Sicat, 9 days ago, message: added gift card tests &minor change with tapCard()
d89dd6b was matthewJarrams, 9 days ago, message: Separated Attendant class from Software
a7ebdcd was matthewJarrams, 9 days ago, message: manual fix of previous commit
9e656f2 was matthewJarrams, 9 days ago, message: Fixed an issue with the last commit
c35fbeb was Kylie Sicat, 9 days ago, message: Creating SelfCheckoutSystem - Software - Structural.drawio
377e25d was Kylie Sicat, 9 days ago, message: Added gift card issuer in database and modified the card methods in main class
33b22d9 was matthewJarrams, 10 days ago, message: Merge pull request #1 from zeyadomran/ShutDownStation
603d7ae was matthewJarrams, 10 days ago, message: Some initial shutdown and start up station implementaion
86c12d2 was matthewJarrams, 10 days ago, message: Manual Merge add of Dany's branch
9919520 was matthewJarrams, 10 days ago, message: Plu code for Product use case and look up product use case
6be701e was matthewJarrams, 11 days ago, message: No changes
0e2f1ca was zeyadomran, 11 days ago, message: Initial Commit 🚀
62b7faa was zeyadomran, 11 days ago, message: Initial Commit 🚀
